Descriptor ID, Fitness, R2_Train, R2Pred_Validation, R2Pred_Test
[23- 49- 53- 54- 114- 267- 331- 358- 365],279.469124653,0.674899112907,0.644778551295,0.724724745013
[23- 238- 298- 322- 331- 368],0.325501565126,0.672536912438,0.64177504012,0.769461461069
[23- 53- 54- 114- 267- 358],0.320754988264,0.674825547682,0.644989883516,0.724679907602
[2- 14- 23- 27- 109- 158],0.345993132425,0.664628115326,0.618324920552,0.722024002416
[13- 19- 40- 74- 245- 298],0.350553261278,0.640495086041,0.736615903219,0.666714791969
[2- 14- 23- 27- 109- 158],0.345993132425,0.664628115326,0.618324920552,0.722024002416
[2- 14- 23- 27- 96- 109- 158],0.691562102382,0.664628098458,0.61832493259,0.722024164497
[2- 20- 23- 54- 224- 240- 241- 308- 336- 367],0.853177664982,0.837798672254,0.675878182954,0.668196980502
[2- 25- 291- 331],0.179243472018,0.627782520112,0.623648181501,0.812002386184
[2- 25- 331],0.142599461285,0.616756973496,0.624447473536,0.81971578842
[2- 25- 291- 331],0.179243472018,0.627782520112,0.623648181501,0.812002386184
[2- 25- 260- 331],0.188354413188,0.61675721658,0.624445930802,0.819715038858
[15- 20- 23- 54- 224- 240- 241- 308- 336- 367],0.628709505124,0.859629615131,0.726685556835,0.61426326016
[2- 25- 331],0.142599461285,0.616756973496,0.624447473536,0.81971578842
[15- 20- 23- 54- 138- 224- 240- 241- 308- 336- 367],0.159561249161,0.855113639706,0.653122782261,0.693637190966
[23- 83- 136- 141- 378],0.132839749484,0.740828143769,0.674739125979,0.698470665884
[2- 25- 163- 260- 331],0.236571032667,0.640926998396,0.642533192878,0.817105475908
[2- 25- 163- 331],0.166075957159,0.640926989152,0.642533814945,0.817105691188
[2- 25- 260- 331],0.188354413188,0.61675721658,0.624445930802,0.819715038858
[15- 20- 23- 122- 138- 224- 240- 241- 308- 336- 349- 367],0.0506068385835,0.859630751901,0.726699398101,0.61428328881
[2- 11- 43- 212- 241- 265- 315- 348- 350- 358],1.24009141959,0.803000038438,0.615533393613,0.728407841632
[2- 25- 331],0.142599461285,0.616756973496,0.624447473536,0.81971578842
[15- 20- 23- 122- 138- 224- 240- 241- 308- 336- 349- 367],0.0506068385835,0.859630751901,0.726699398101,0.61428328881
