Descriptor ID, Fitness, R2_Train, R2Pred_Validation, R2Pred_Test
[25- 47- 60- 81- 95- 96- 272],0.012920939,0.999979858,0.70871641,0.950868124
[14- 15- 81- 94- 114- 115- 193- 258- 340],11.75131816,0.999978887,0.618029536,0.903890244
[68- 144- 154- 164- 321- 372- 374],0.008536254,0.999989694,0.76321145,0.875218951
[39- 55- 89- 308],0.003145228,0.999602046,0.65238745,0.868451188
[53- 58- 96- 181],0.002520512,0.99972287,0.688336839,0.866648468
[73- 74- 93- 236- 324- 345- 391],0.001830390341,0.999875919277,0.890975057082,0.863843065813
[5- 8- 93- 160- 198- 203- 253],0.004907936168,0.999882575714,0.821025673892,0.858861238483
[32- 144- 165- 176- 260],0.005153797789,0.999831726574,0.640916387466,0.853098703044
[55- 59- 117- 313- 316],0.000936717601,0.999509793130,0.849340092458,0.844250544869
[17- 55- 93- 225- 394],0.004265763691,0.999842789132,0.673338058456,0.841615308865
[5- 10- 50- 72- 209- 388],0.002432333629,0.999815460159,0.814125530509,0.841395444469
[32- 79- 93- 116- 143- 154- 168- 322- 363],3.126639487710,0.999999056511,0.802927018505,0.838228739654
[15- 22- 51- 101- 234- 267],0.003763007621,0.999770013984,0.768808939768,0.836347446811
[7- 93- 154- 246- 253- 264- 284],0.00975183,0.999993773,0.746887861,0.836020445
[142- 302- 324- 330- 349],0.003836428,0.999696976,0.69110518,0.83440551
[219- 319- 334- 350- 363],0.003551527,0.999915324,0.701596498,0.833765175
[72- 178- 189- 201],0.003976265,0.999730095,0.608071847,0.829130331
[25- 123- 159- 219- 338],0.004424494,0.999886049,0.667048332,0.827096866
[2- 32- 40- 103- 157],0.004164653,0.999879111,0.677032958,0.826460852
[47- 101- 118- 171- 181],0.003198194,0.999850754,0.717228429,0.826407129
[61- 94- 270- 345- 363],0.002743196,0.999830696,0.738294527,0.823468382
[3- 15- 22- 124- 146- 186- 207- 317],0.033383556,0.999956375,0.755846423,0.812041652
[25- 51- 117- 130],0.003980964,0.999916819,0.606702568,0.811706164
[28- 152- 246- 274- 317- 333- 352- 358],0.075566101,0.999995469,0.63236555,0.809645429
[41- 47- 246- 319],0.003876858,0.999910224,0.611925976,0.805707435
[15- 129- 192- 311- 387],0.002199569,0.999951199,0.765060316,0.798248721
[46- 51- 64- 83- 189- 222- 253- 386- 389],0.53549467,0.99998771,0.918497351,0.795013855
[131- 143- 302- 350],0.003230739,0.99968952,0.647128478,0.786302794
[321- 354- 372- 378],0.003535779,0.999914033,0.629391386,0.781108939
[84- 144- 160- 277],0.003994038,0.999846973,0.60648166,0.77650669
[7- 12- 85- 116- 150- 317],0.003180919,0.99989201,0.786870963,0.770707729
[35- 234- 297- 368],0.003346223,0.999724004,0.640633691,0.77031809
[55- 93- 140- 223- 307- 349- 361],0.014232531,0.99999216,0.694220316,0.770268226
[1- 32- 165- 206- 217- 280- 335- 362],0.089643091,0.999864764,0.600226479,0.764110866
[18- 81- 136- 289- 387],0.002895479,0.99982741,0.731120811,0.762553181
[55- 106- 306- 314],0.004102626,0.999754809,0.601716674,0.761335522
[25- 62- 85- 126- 181- 294],0.005736898,0.999951645,0.713244277,0.75823599
[25- 46- 121- 165- 215],0.001897475,0.99965358,0.783535285,0.756878303
[18- 85- 96- 183- 275],0.003614161,0.999877341,0.699192626,0.756762977
[144- 159- 181- 187- 259- 365],0.005570263,0.99999068,0.717228418,0.756396461
[13- 54- 72- 134- 171- 236],0.010721316,0.999826168,0.608582997,0.752402777
[30- 47- 95- 168- 203- 210- 223- 236- 339],3.8922924,0.999984994,0.780182097,0.750436679
[55- 94- 103- 165- 256],0.001977259,0.999864869,0.777764369,0.745807567
[18- 77- 107- 153- 184- 250- 338- 356],0.081391365,0.999992156,0.618473915,0.743306059
[47- 102- 181- 183- 313],0.001108616,0.999944378,0.833328498,0.742749637
[47- 89- 226- 290- 333],0.004225319,0.999975174,0.674127056,0.738206996
[43- 44- 52- 148- 164- 182- 310- 333- 350],2.911153385,0.999990502,0.80987915,0.737147878
