Descriptor ID, Fitness, R2_Train, R2Pred_Validation, R2Pred_Test
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 274- 357],1.398499997,0.733005966,0.734223404,0.651103772
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 274- 357],1.398499997,0.733005966,0.734223404,0.651103772
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 82- 123- 148- 204- 274- 357],1.398499997,0.733005966,0.734223404,0.651103772
[22- 62- 82- 123- 148- 204- 240- 357],1.34828021,0.733180262,0.762022341,0.606917242
[22- 62- 63- 82- 123- 148- 204- 357],1.345903738,0.733228534,0.763153683,0.611149988
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 63- 82- 123- 148- 204- 357],1.345903738,0.733228534,0.763153683,0.611149988
[22- 62- 82- 123- 148- 204- 357],0.404113301,0.733056709,0.763426812,0.605344563
[22- 62- 63- 82- 123- 148- 204- 357],1.345903738,0.733228534,0.763153683,0.611149988
[22- 62- 63- 82- 123- 148- 204- 357],1.345903738,0.733228534,0.763153683,0.611149988
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 28- 165- 184- 307- 308],0.31320783,0.66147647,0.74391979,0.873625995
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 28- 38- 77- 89- 119- 130- 153- 174- 260],1.835114268,0.735829315,0.638952119,0.755898095
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[18- 188- 201- 249],0.158210461,0.653124831,0.629234703,0.690270999
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
[22- 62- 63- 82- 148- 204- 357],0.561854753,0.687016995,0.711777465,0.759848206
