Descriptor ID, Fitness, R2_Train, R2Pred_Validation, R2Pred_Test
[34- 95- 215- 246- 297- 304- 353],0.0206108079951,0.999988684687,0.632037563909,0.812749191037
[63- 171- 321- 341- 370],0.00588286856045,0.999965146437,0.615517388122,0.620574585458
[72- 151- 153- 263- 273- 331- 355],0.0133216169614,0.999956631867,0.704354129806,0.644449824669
[157- 163- 193- 280- 297],0.00494796742157,0.999959262686,0.647440118635,0.860973532447
[103- 206- 302- 315- 335],0.0021272851211,0.999874541024,0.769402105859,0.759792058029
[0- 10- 94- 142],0.00240927046191,0.999796864821,0.694879128913,0.789162316415
[17- 25- 88- 94- 330],0.00143831176608,0.999754153962,0.811213927467,0.885877003706
[21- 60- 209- 246- 296],0.00185868963595,0.999834307826,0.784731796905,0.602281118432
[0- 163- 165- 239- 322- 334- 364],0.0187941521518,0.999837183718,0.649421094553,0.686834612528
[32- 136- 335- 378],0.00221801555558,0.999556743332,0.708752195933,0.627379728453
[149- 176- 206- 241- 253- 317- 320],0.00608212930066,0.999968130546,0.800247575564,0.867129481891
[60- 62- 220- 261- 319- 378],0.00216550305047,0.99996557949,0.823847443183,0.641459409261
[54- 56- 83- 205- 280],0.00263631274646,0.999906856562,0.743021344343,0.613833429759
[55- 114- 165- 213- 279- 286],0.00435978635311,0.999937939196,0.750129149942,0.653916441211
[22- 130- 150- 159],0.000778630369954,0.999939960909,0.826204278648,0.752626832132
[8- 84- 268- 288],0.0022076524043,0.999215198798,0.711519059649,0.777720562485
[18- 41- 79- 81- 150- 235- 254],0.0174432137211,0.999893594018,0.661992719566,0.610700725234
[18- 222- 229- 354],0.000374605450702,0.999931518335,0.879615264769,0.611059110515
[55- 91- 93- 120- 301- 317],0.0075649655473,0.999982882963,0.670499584197,0.712023726987
[78- 103- 129- 147- 162- 295- 347],0.0214142254343,0.99995313724,0.625118822427,0.620070128824
[44- 51- 313- 335- 345- 352],0.0079454188071,0.999948924666,0.662500396999,0.67947153799
[22- 89- 214- 300- 348],0.00591034730088,0.999718128809,0.61605226696,0.637134686749
[35- 178- 210- 313],0.00280641941715,0.999935213166,0.669749290593,0.614459685928
[34- 51- 73- 148- 306- 369],0.00668857560264,0.999922182762,0.690512949764,0.603909670769
[51- 80- 132- 275],0.00360430312051,0.999588393305,0.627794852161,0.769548054778
[33- 117- 278- 291- 334],0.006281309896,0.999662028071,0.604461169776,0.662253989975
[55- 95- 204- 229- 266],0.00105005077857,0.999958745382,0.837715955275,0.669086876619
[55- 83- 107- 184- 197- 307],0.00175944536154,0.999950765926,0.841319693628,0.655768539943
[33- 49- 51- 166- 181- 228- 381],0.0102834142914,0.999953553271,0.740289678716,0.619248888736
[21- 55- 263- 327],0.00118185338922,0.999978594136,0.785560985665,0.65154017484
[4- 40- 51- 75- 114- 231- 245- 276],0.0247635189897,0.999794679191,0.790544316187,0.607317254111
[33- 52- 58- 72- 162- 201- 338],0.0217801968204,0.999986446697,0.621753111308,0.770569977015
[55- 163- 191- 331],0.0010216919065,0.99992112823,0.800978834143,0.658911244076
[55- 57- 75- 205- 369- 388],0.000863775578528,0.999806275556,0.889694787112,0.627086538328
[4- 55- 297- 303- 318- 355],0.00364933036407,0.999954249406,0.771332220017,0.706244285185
[2- 17- 116- 268],0.00303909944161,0.999553375496,0.658639988614,0.771520474819
[7- 22- 61- 132],0.00117524052633,0.999714946138,0.787767240412,0.619483744817
[26- 55- 132- 181- 361],0.00281577522413,0.999896138753,0.734462711257,0.838798902021
[38- 54- 292- 367],0.00396524292381,0.999790257283,0.60825141542,0.704749118119
[8- 51- 90- 163- 209- 220- 279- 329],0.0257601948278,0.999977985601,0.785447251906,0.65004703661
[51- 56- 163- 198- 212- 248- 288- 295],0.0223394849038,0.999962853429,0.80028176104,0.603881964498
[9- 83- 203- 210- 217- 293- 336],0.0179447220891,0.999924672827,0.656998035348,0.623513053654
[13- 141- 144- 285- 291- 318- 379],0.0233687575369,0.99983035363,0.609013964763,0.72863908228
[41- 53- 154- 163- 302- 329],0.00580393819735,0.999977694267,0.711428616678,0.658721604984
[116- 123- 144- 176- 186- 247- 289- 333- 347],7.9223495763,0.99999662677,0.686308200173,0.861502035694
[80- 83- 198- 302],0.00385004638079,0.999715544931,0.614457354915,0.77072547248
